image_id,filepath,anomaly_class,class_idx
10001,images/10001.jpg,No-Anomaly,0
10003,images/10003.jpg,No-Anomaly,0
10006,images/10006.jpg,No-Anomaly,0
10007,images/10007.jpg,No-Anomaly,0
10009,images/10009.jpg,No-Anomaly,0
10010,images/10010.jpg,No-Anomaly,0
10012,images/10012.jpg,No-Anomaly,0
10013,images/10013.jpg,No-Anomaly,0
10014,images/10014.jpg,No-Anomaly,0
10015,images/10015.jpg,No-Anomaly,0
10018,images/10018.jpg,No-Anomaly,0
10019,images/10019.jpg,No-Anomaly,0
10020,images/10020.jpg,No-Anomaly,0
10022,images/10022.jpg,No-Anomaly,0
10023,images/10023.jpg,No-Anomaly,0
10024,images/10024.jpg,No-Anomaly,0
10025,images/10025.jpg,No-Anomaly,0
10026,images/10026.jpg,No-Anomaly,0
10028,images/10028.jpg,No-Anomaly,0
10033,images/10033.jpg,No-Anomaly,0
10034,images/10034.jpg,No-Anomaly,0
10035,images/10035.jpg,No-Anomaly,0
10040,images/10040.jpg,No-Anomaly,0
10041,images/10041.jpg,No-Anomaly,0
10042,images/10042.jpg,No-Anomaly,0
10043,images/10043.jpg,No-Anomaly,0
10045,images/10045.jpg,No-Anomaly,0
10047,images/10047.jpg,No-Anomaly,0
10048,images/10048.jpg,No-Anomaly,0
10049,images/10049.jpg,No-Anomaly,0
10050,images/10050.jpg,No-Anomaly,0
10051,images/10051.jpg,No-Anomaly,0
10052,images/10052.jpg,No-Anomaly,0
10054,images/10054.jpg,No-Anomaly,0
10057,images/10057.jpg,No-Anomaly,0
10059,images/10059.jpg,No-Anomaly,0
10060,images/10060.jpg,No-Anomaly,0
10061,images/10061.jpg,No-Anomaly,0
10062,images/10062.jpg,No-Anomaly,0
10065,images/10065.jpg,No-Anomaly,0
10066,images/10066.jpg,No-Anomaly,0
10067,images/10067.jpg,No-Anomaly,0
10069,images/10069.jpg,No-Anomaly,0
10071,images/10071.jpg,No-Anomaly,0
10073,images/10073.jpg,No-Anomaly,0
10074,images/10074.jpg,No-Anomaly,0
10075,images/10075.jpg,No-Anomaly,0
10076,images/10076.jpg,No-Anomaly,0
10077,images/10077.jpg,No-Anomaly,0
10078,images/10078.jpg,No-Anomaly,0
10081,images/10081.jpg,No-Anomaly,0
10083,images/10083.jpg,No-Anomaly,0
10086,images/10086.jpg,No-Anomaly,0
10087,images/10087.jpg,No-Anomaly,0
10088,images/10088.jpg,No-Anomaly,0
10090,images/10090.jpg,No-Anomaly,0
10091,images/10091.jpg,No-Anomaly,0
10093,images/10093.jpg,No-Anomaly,0
10094,images/10094.jpg,No-Anomaly,0
10095,images/10095.jpg,No-Anomaly,0
10096,images/10096.jpg,No-Anomaly,0
10098,images/10098.jpg,No-Anomaly,0
10099,images/10099.jpg,No-Anomaly,0
10100,images/10100.jpg,No-Anomaly,0
10101,images/10101.jpg,No-Anomaly,0
10102,images/10102.jpg,No-Anomaly,0
10104,images/10104.jpg,No-Anomaly,0
10105,images/10105.jpg,No-Anomaly,0
10106,images/10106.jpg,No-Anomaly,0
10108,images/10108.jpg,No-Anomaly,0
10110,images/10110.jpg,No-Anomaly,0
10111,images/10111.jpg,No-Anomaly,0
10112,images/10112.jpg,No-Anomaly,0
10114,images/10114.jpg,No-Anomaly,0
10117,images/10117.jpg,No-Anomaly,0
10119,images/10119.jpg,No-Anomaly,0
10120,images/10120.jpg,No-Anomaly,0
10122,images/10122.jpg,No-Anomaly,0
10123,images/10123.jpg,No-Anomaly,0
10124,images/10124.jpg,No-Anomaly,0
10125,images/10125.jpg,No-Anomaly,0
10126,images/10126.jpg,No-Anomaly,0
10127,images/10127.jpg,No-Anomaly,0
10128,images/10128.jpg,No-Anomaly,0
10129,images/10129.jpg,No-Anomaly,0
10130,images/10130.jpg,No-Anomaly,0
10131,images/10131.jpg,No-Anomaly,0
10132,images/10132.jpg,No-Anomaly,0
10133,images/10133.jpg,No-Anomaly,0
10134,images/10134.jpg,No-Anomaly,0
10135,images/10135.jpg,No-Anomaly,0
10136,images/10136.jpg,No-Anomaly,0
10137,images/10137.jpg,No-Anomaly,0
10138,images/10138.jpg,No-Anomaly,0
10139,images/10139.jpg,No-Anomaly,0
10140,images/10140.jpg,No-Anomaly,0
10141,images/10141.jpg,No-Anomaly,0
10142,images/10142.jpg,No-Anomaly,0
10143,images/10143.jpg,No-Anomaly,0
10144,images/10144.jpg,No-Anomaly,0
10145,images/10145.jpg,No-Anomaly,0
10146,images/10146.jpg,No-Anomaly,0
10147,images/10147.jpg,No-Anomaly,0
10148,images/10148.jpg,No-Anomaly,0
10149,images/10149.jpg,No-Anomaly,0
10152,images/10152.jpg,No-Anomaly,0
10153,images/10153.jpg,No-Anomaly,0
10154,images/10154.jpg,No-Anomaly,0
10155,images/10155.jpg,No-Anomaly,0
10157,images/10157.jpg,No-Anomaly,0
10160,images/10160.jpg,No-Anomaly,0
10161,images/10161.jpg,No-Anomaly,0
10162,images/10162.jpg,No-Anomaly,0
10165,images/10165.jpg,No-Anomaly,0
10167,images/10167.jpg,No-Anomaly,0
10168,images/10168.jpg,No-Anomaly,0
10169,images/10169.jpg,No-Anomaly,0
10172,images/10172.jpg,No-Anomaly,0
10173,images/10173.jpg,No-Anomaly,0
10174,images/10174.jpg,No-Anomaly,0
10176,images/10176.jpg,No-Anomaly,0
10179,images/10179.jpg,No-Anomaly,0
10180,images/10180.jpg,No-Anomaly,0
10182,images/10182.jpg,No-Anomaly,0
10183,images/10183.jpg,No-Anomaly,0
10184,images/10184.jpg,No-Anomaly,0
10185,images/10185.jpg,No-Anomaly,0
10186,images/10186.jpg,No-Anomaly,0
10187,images/10187.jpg,No-Anomaly,0
10188,images/10188.jpg,No-Anomaly,0
10189,images/10189.jpg,No-Anomaly,0
10191,images/10191.jpg,No-Anomaly,0
10192,images/10192.jpg,No-Anomaly,0
10193,images/10193.jpg,No-Anomaly,0
10194,images/10194.jpg,No-Anomaly,0
10196,images/10196.jpg,No-Anomaly,0
10197,images/10197.jpg,No-Anomaly,0
10198,images/10198.jpg,No-Anomaly,0
10199,images/10199.jpg,No-Anomaly,0
10201,images/10201.jpg,No-Anomaly,0
10202,images/10202.jpg,No-Anomaly,0
10204,images/10204.jpg,No-Anomaly,0
10205,images/10205.jpg,No-Anomaly,0
10206,images/10206.jpg,No-Anomaly,0
10208,images/10208.jpg,No-Anomaly,0
10209,images/10209.jpg,No-Anomaly,0
10211,images/10211.jpg,No-Anomaly,0
10212,images/10212.jpg,No-Anomaly,0
10214,images/10214.jpg,No-Anomaly,0
10215,images/10215.jpg,No-Anomaly,0
10218,images/10218.jpg,No-Anomaly,0
10221,images/10221.jpg,No-Anomaly,0
10222,images/10222.jpg,No-Anomaly,0
10223,images/10223.jpg,No-Anomaly,0
10225,images/10225.jpg,No-Anomaly,0
10226,images/10226.jpg,No-Anomaly,0
